,map_id
0,R47041
4,R319029
5,R20137
9,R21271
11,R308206
13,R21442
14,R317440
17,R19910
21,R19738
23,R308173
25,R10272
26,R16156
27,R56230
28,R313183
29,R21295
30,R20802
31,R11435
32,R308952
33,R303373
52,R19588
56,R18390
58,R18697
63,R18170
66,R305150
69,R18708
73,R301920
79,R18947
85,R18854
89,R307803
96,R17051
97,R301425
98,R300773
99,R16660
100,R15704
101,R16152
102,R61979
103,R300774
104,R15009
105,R63057
106,R14957
107,R14817
108,R61259
109,R14972
110,R54508
111,R14594
112,R59675
113,R14545
114,R15233
115,R56672
116,R14532
117,R56001
118,R14494
119,R14569
120,R55015
121,R57638
122,R57900
123,R14454
124,R13929
125,R57600
126,R14564
127,R14872
128,R57535
129,R57854
130,R57586
131,R57531
132,R57538
133,R318091
134,R57481
135,R315300
136,R15287
137,R14734
138,R15303
139,R56977
140,R14479
141,R58772
142,R14737
145,R321796
146,R48835
147,R317372
148,R53000
149,R47184
150,R46912
151,R46970
152,R46910
153,R47558
154,R52144
155,R47265
156,R321008
157,R44552
158,R40637
159,R40396
160,R314105
161,R40497
162,R12554
163,R13065
164,R40488
165,R40736
166,R40735
167,R40483
168,R39722
169,R39559
170,R40332
171,R40619
172,R41259
173,R44840
174,R41274
175,R44389
176,R323428
177,R43550
178,R42146
179,R44401
180,R43157
181,R322017
182,R323427
183,R43519
184,R42106
185,R42636
186,R42608
187,R42687
188,R42459
189,R38112
190,R37547
191,R13218
192,R12720
193,R32595
194,R12327
195,R31557
196,R31645
197,R31407
198,R32948
199,R30978
200,R321753
201,R30794
202,R28326
203,R32162
204,R34960
205,R28589
206,R27192
207,R34079
208,R34077
209,R34075
210,R12675
211,R27593
212,R25376
213,R27242
214,R28053
215,R26343
216,R26377
217,R24174
218,R28318
219,R10378
220,R25505
221,R26910
222,R10363
223,R26020
224,R25110
225,R25006
226,R24203
227,R24404
228,R25002
229,R24201
230,R26859
231,R24797
232,R28071
233,R309926
234,R28323
235,R27163
236,R28483
237,R27636
238,R27905
239,R28335
240,R28315
241,R27287
242,R27581
243,R27565
244,R27252
245,R28111
246,R35126
247,R322724
248,R12346
249,R33951
250,R34191
251,R34778
252,R34977
253,R23912
255,R23409
257,R23089
260,R23075
261,R23331
262,R22827
264,R23099
268,R22837
269,R22372
272,R22370
273,R21957
274,R22825
275,R22821
276,R22833
277,R22829
289,R315971
294,R314885
296,R23025
299,R316214
303,R21673
305,R21714
308,R21674
309,R21771
310,R21517
313,R21581
317,R311543
326,R20233
332,R10817
336,R306186
337,R20750
339,R19938
341,R19504
346,R305069
348,R308752
351,R310260
352,R19902
363,R314988
371,R311262
385,R321507
394,R17010
395,R17005
396,R63364
398,R62265
399,R61565
400,R14661
401,R14897
402,R55967
403,R51687
404,R49652
405,R47818
406,R53863
407,R52740
408,R49588
409,R49218
410,R47153
411,R41080
412,R39274
413,R39351
414,R42993
415,R39647
416,R39425
417,R38917
418,R38939
419,R41163
